sha,refactoring_type,url,match_type
f60313e29657b2afb6a02f28dba5936bc0dd09e6,Rename Variable,,FP
f60313e29657b2afb6a02f28dba5936bc0dd09e6,Extract Variable,https://github.com/keras-team/keras/commit/f60313e29657b2afb6a02f28dba5936bc0dd09e6,FN
f57c023ff4a9cb26a307d1cb44b87c8e76bcf588,Rename Module,https://github.com/dit/dit/commit/f57c023ff4a9cb26a307d1cb44b87c8e76bcf588,TP
f57c023ff4a9cb26a307d1cb44b87c8e76bcf588,Rename Module,https://github.com/dit/dit/commit/f57c023ff4a9cb26a307d1cb44b87c8e76bcf588,TP
f57c023ff4a9cb26a307d1cb44b87c8e76bcf588,Rename Module,https://github.com/dit/dit/commit/f57c023ff4a9cb26a307d1cb44b87c8e76bcf588,TP
f57c023ff4a9cb26a307d1cb44b87c8e76bcf588,Rename Method,https://github.com/dit/dit/commit/f57c023ff4a9cb26a307d1cb44b87c8e76bcf588,TP
f5332a18596bc681f1efcc00ee6eae0ad0f81152,Rename Method,https://github.com/streamlit/streamlit/commit/f5332a18596bc681f1efcc00ee6eae0ad0f81152,TP
f4af48b76565ecd9a628b95dce7c66f17693a3f5,Rename Module,https://github.com/ikostrikov/pytorch-a2c-ppo-acktr/commit/f4af48b76565ecd9a628b95dce7c66f17693a3f5,TP
f4af48b76565ecd9a628b95dce7c66f17693a3f5,Rename Class,https://github.com/ikostrikov/pytorch-a2c-ppo-acktr/commit/f4af48b76565ecd9a628b95dce7c66f17693a3f5,TP
f48545b9f0a7c4f464db58eb20058ee05f765f82,Extract Variable,https://github.com/keras-team/autokeras/commit/f48545b9f0a7c4f464db58eb20058ee05f765f82,FN
f48545b9f0a7c4f464db58eb20058ee05f765f82,Extract Variable,https://github.com/keras-team/autokeras/commit/f48545b9f0a7c4f464db58eb20058ee05f765f82,FN
f48545b9f0a7c4f464db58eb20058ee05f765f82,Extract Method,https://github.com/keras-team/autokeras/commit/f48545b9f0a7c4f464db58eb20058ee05f765f82,FN
f48545b9f0a7c4f464db58eb20058ee05f765f82,Extract Method,https://github.com/keras-team/autokeras/commit/f48545b9f0a7c4f464db58eb20058ee05f765f82,FN
f404a23ac64f0c8ade34c320636985691e172a8d,Rename Method,https://github.com/hanxiao/bert-as-service/commit/f404a23ac64f0c8ade34c320636985691e172a8d,TP
f3ed23478e2dc5cddcd19eca995527b3ee798950,Rename Method,https://github.com/hanxiao/bert-as-service/commit/f3ed23478e2dc5cddcd19eca995527b3ee798950,TP
f3dcd09d1c3a6452042d2a1c39793c75d9e58c55,Rename Method,https://github.com/tflearn/tflearn/commit/f3dcd09d1c3a6452042d2a1c39793c75d9e58c55,TP
f366e9caca3c8562e119f32e6b64217c30a3915f,Extract Method,https://github.com/streamlit/streamlit/commit/f366e9caca3c8562e119f32e6b64217c30a3915f,TP
f31a914bd38b00affc978d7ef1834e1303af5b4c,Rename Method,https://github.com/GPflow/GPflow/commit/f31a914bd38b00affc978d7ef1834e1303af5b4c,TP
f31a914bd38b00affc978d7ef1834e1303af5b4c,Rename Method,,FP
f2e62708e84f2de78e957032b5d1cb5544a6320e,Move Method,https://github.com/dit/dit/commit/f2e62708e84f2de78e957032b5d1cb5544a6320e,TP
f2e62708e84f2de78e957032b5d1cb5544a6320e,Move Method,https://github.com/dit/dit/commit/f2e62708e84f2de78e957032b5d1cb5544a6320e,TP
f2e62708e84f2de78e957032b5d1cb5544a6320e,Move Method,https://github.com/dit/dit/commit/f2e62708e84f2de78e957032b5d1cb5544a6320e,TP
f2e62708e84f2de78e957032b5d1cb5544a6320e,Inline Variable,https://github.com/dit/dit/commit/f2e62708e84f2de78e957032b5d1cb5544a6320e,FP
f2e62708e84f2de78e957032b5d1cb5544a6320e,Extract Method,https://github.com/dit/dit/commit/f2e62708e84f2de78e957032b5d1cb5544a6320e,TP
f2e62708e84f2de78e957032b5d1cb5544a6320e,Extract Method,https://github.com/dit/dit/commit/f2e62708e84f2de78e957032b5d1cb5544a6320e,TP
f2e62708e84f2de78e957032b5d1cb5544a6320e,Extract Method,https://github.com/dit/dit/commit/f2e62708e84f2de78e957032b5d1cb5544a6320e,TP
